sale_year_quarter,year_quarter_revenue,quarter_average_revenue,year_quarter_sales_count,month_above_average_revenue
2012-1,52171844.040000126,17390614.680000041,465033,
2012-2,64057321.2800001,21352440.4266667,526584,
2012-3,60417099.770000175,20139033.256666724,520976,
2012-4,78557048.4800001,26185682.826666698,569466,2012-10
2013-1,54318999.360000119,18106333.120000038,469032,
2013-2,64305986.370000154,21435328.790000051,513280,
2013-3,63317159.040000133,21105719.680000044,530165,
2013-4,76161648.050000057,25387216.016666684,551286,2013-10
2014-1,58558120.990000054,19519373.663333353,468480,
2014-2,68035114.470000118,22678371.490000039,527290,
2014-3,66553792.380000167,22184597.460000057,532490,
2014-4,77440710.250000253,25813570.083333418,569536,2014-12
2015-1,62985230.430000164,20995076.810000055,496626,2015-3
2015-2,72384317.4200001,24128105.806666702,555618,2015-6
2015-3,68643923.220000118,22881307.740000039,550843,
2015-4,80315101.040000036,26771700.346666679,581396,2015-12
2016-1,65526344.180000104,21842114.7266667,525069,
2016-2,75824870.760000125,25274956.920000043,579656,
2016-3,71778318.460000113,23926106.15333337,564652,
2016-4,86318031.4499999,28772677.149999965,610516,2016-12
2017-1,68174153.370000109,22724717.790000036,523837,2017-3
2017-2,80030178.100000039,26676726.033333346,585835,
2017-3,77311932.430000037,25770644.143333346,572281,
2017-4,89013780.9099999,29671260.3033333,609323,
2018-1,70341024.590000078,23447008.196666691,542643,
2018-2,84969592.339999959,28323197.446666654,606887,
2018-3,80506299.230000213,26835433.076666739,573373,2018-8
2018-4,98399926.910000131,32799975.636666711,632655,
2019-1,73091421.440000162,24363807.146666721,533381,
2019-2,89422412.080000117,29807470.693333372,606617,
2019-3,87469774.210000068,29156591.403333355,598051,
2019-4,99236733.900000125,33078911.300000042,642296,
2020-1,81725535.270000115,27241845.090000037,577308,2020-3
2020-2,100076221.86000016,33358740.620000053,695855,
2020-3,104775901.6700002,34925300.556666732,658427,
2020-4,110085472.86000025,36695157.620000087,682775,2020-12
2021-1,94938294.6700001,31646098.22333337,616459,2021-3
2021-2,107285406.02000023,35761802.006666742,675160,
2021-3,107515327.38000016,35838442.460000053,643517,
2021-4,118384507.33000009,39461502.443333365,687576,
2022-1,87297683.779999986,29099227.926666662,542375,
2022-2,109344081.3400002,36448027.1133334,665571,
2022-3,111789654.99000041,37263218.33000014,667285,2022-8
2022-4,120348583.38000034,40116194.460000113,689334,
2023-1,101066122.27000022,33688707.423333406,624100,
2023-2,113764027.47000007,37921342.490000024,680006,
2023-3,110724007.81,36908002.603333332,648822,
2023-4,120516504.96999988,40172168.323333293,686629,
2024-1,32972812.840000048,10990937.61333335,212908,2024-1
