store_county,store_total_revenue
POLK,933964014.32999253
LINN,353391462.9899984
SCOTT,286208928.35000008
JOHNSON,241218811.78999975
BLACK HAWK,225981351.0899995
POTTAWATTAMIE,146262038.48000011
WOODBURY,140309892.47000006
STORY,122424278.56000002
DUBUQUE,120595036.01999994
DALLAS,96649101.4000001
CERRO GORDO,84261313.820000321
CLINTON,64602105.160000131
DICKINSON,56062795.2800001
DES MOINES,47937607.050000064
LEE,46455796.0000001
WEBSTER,44866639.980000012
MUSCATINE,43935747.74000001
MARSHALL,43746853.460000046
WAPELLO,37353783.809999965
WARREN,36985308.769999981
CARROLL,32364377.74000001
MARION,30155769.349999998
JASPER,25662988.189999983
BREMER,25116836.159999963
BOONE,24428770.129999984
BUENA VISTA,24279615.759999998
HARDIN,24108610.639999986
SIOUX,23244801.750000007
WASHINGTON,22621445.630000018
PLYMOUTH,22523334.820000004
KOSSUTH,22475554.36999999
CLAY,21400224.349999994
,20609173.270000011
POWESHIEK,20008697.72000001
WINNESHIEK,18453378.519999992
CRAWFORD,18092083.800000023
IOWA,17281976.830000009
O'BRIEN,17095990.590000018
JONES,16735030.549999991
BUCHANAN,16359032.830000002
MAHASKA,16281290.730000004
FAYETTE,16113624.529999997
PAGE,16076087.320000013
HENRY,15919493.47
FLOYD,15821841.87999999
CASS,15816112.190000005
JACKSON,15693882.78
UNION,14226074.539999995
DELAWARE,13701941.81000001
JEFFERSON,13313803.850000003
BENTON,12742611.160000015
HAMILTON,11838736.720000008
APPANOOSE,11304945.690000011
ALLAMAKEE,11293216.270000007
SHELBY,11166195.430000002
MADISON,11123002.319999995
HOWARD,10392675.549999991
LYON,10081664.46
HUMBOLDT,10068433.079999998
WINNEBAGO,9862860.6400000025
CHEROKEE,9740984.589999998
TAMA,9503042.5699999966
PALO ALTO,9452061.81
CLARKE,9372307.9800000023
MONTGOMERY,9346938.6099999975
WRIGHT,9113548.0200000033
CLAYTON,8961950.1
CEDAR,8548706.63
EMMET,8092586.2099999981
SAC,7978449.4399999995
IDA,7478575.3299999982
MILLS,7244002.6800000053
MONONA,7233055.7299999995
HARRISON,7224353.46
GREENE,6959009.120000001
FRANKLIN,6696681.6300000008
LUCAS,6395649.8099999977
MITCHELL,5845555.5399999935
CHICKASAW,5770035.07
ADAIR,5472768.4200000027
HANCOCK,5256819.0799999963
GUTHRIE,5110216.0399999954
MONROE,4827005.19
CALHOUN,4713802.9999999991
POCAHONTAS,4583653.419999999
BUTLER,4361257.8499999978
GRUNDY,4151165.3599999943
WORTH,3891929.9600000009
OSCEOLA,3422747.8799999994
LOUISA,3070143.8300000019
KEOKUK,2531868.5900000017
VAN BUREN,2509961.370000001
AUDUBON,2408086.8899999992
DECATUR,2319304.6500000008
RINGGOLD,2093289.0199999989
WAYNE,1974769.1200000003
ADAMS,1667921.5000000007
TAYLOR,1592868.0500000005
DAVIS,1398245.8099999996
FREMONT,863952.39
